hiragana,romaji_sound,hira_example,hira_romaji,meaning,meaning_malay,reference,filename,,,
あ,a,あめ,ame,candy,gula-gula,飴,a,,,
い,i,いえ,ie,house,rumah,家,b,,,
う,u,うさぎ,usagi,rabbit,arnab,兎馬,c,,,
え,e,えき,eki,train station,stesen keretapi,駅,d,,,
お,o,おに,oni,demon,jin/iblis,鬼,e,,,
か,ka,かたな,katana,sword,pedang,かたな,f,,,
き,ki,きもの,kimono,kimono,kimono,きもの,g,,,
く,ku,くま,kuma,bear,beruang,熊,h,,,
け,ke,けっこん,kekkon,marriage,perkahwinan,結婚,i,,,
こ,ko,ことば,kotoba,words,perkataan,言葉,j,,,
さ,sa,さしみ,sashimi,sashimi,sashimi,刺身,k,,,
し,shi,しお,shio,salt,garam,塩,l,,,
す,su,すいか,suika,watermelon,tembikai,すいか,m,,,
せ,se,せかい,sekai,world,dunia,世界,n,,,
そ,so,そば,soba,soba,soba,そば,o,,,
た,ta,たこやき,takoyaki,takoyaki,takoyaki,たこ焼き,p,,,
ち,chi,ちず,chizu,map,pelan,地図,q,,,
つ,tsu,つぼみ,tsubomi,flower bud,kuncup bunga,莟,r,,,
て,te,てつ,tetsu,iron,besi,鉄,s,,,
と,to,とうふ,toufu,tofu,tofu,豆腐,t,,,
な,na,なか,naka,inside,dalam,中,u,,,
に,ni,にほん,nihon,Japan,Jepun,日本,v,,,
ぬ,nu,ぬく,nuku,pull out,keluarkan,抜く,w,,,
ね,ne,ねる,neru,sleep,tidur,寝る,x,,,
の,no,のむ,nomu,drink,minum,飲む,y,,,
は,ha,はは,haha,mother,ibu,母,z,,,
ひ,hi,ひる,hiru,afternoon,tengahari,昼,a1,,,
ふ,hu,ふとん,futon,bedclothes,selimut tidur,布団,a2,,,
へ,he,へび,hebi,snake,ular,蛇,a3,,,
ほ,ho,ほ,ho,sail,layar,帆,a4,,,
ま,ma,まんが,manga,manga,manga,漫画,a5,,,
み,mi,みなみ,minami,south,selatan,南,a6,,,
む,mu,むし,mushi,insect,serangga,虫,a7,,,
め,me,めがね,megane,spectacles,cermin mata,眼鏡,a8,,,
も,mo,もも,momo,peach,buah peach,桃,a9,,,
ら,ra,らーめん,ra-men,ramen,ramen,ラーメン,b1,,,
り,ri,りんご,ringo,apple,epal,りんご,b2,,,
る,ru,るーる,rur-u,rules,undang-undang,ルール,b3,,,
れ,re,れいぞうこ,reizouko,refrigerator,peti ais,冷蔵庫,b4,,,
ろ,ro,ろせん,rosen,route,laluan,路線,b5,,,
わ,wa,わに,wani,crocodile,buaya,わに,b6,,,
や,ya,やちん,yachin,rent ,sewa rumah,家賃,b7,,,
ゆ,yu,ゆがた,yugata,evening,petang,夕方,b8,,,
よ,yo,よる,yoru,night,malam,夜,b9,,,
ん,n,,,,,,,,,
を,wo,,,,,,,,,
