hiragana,romaji_sound,hira_example,hira_romaji,meaning,meaning_malay,reference,filename,
_,a,__,ame,candy,gula-gula,_,a.jpg,
_,i,__,ie,house,rumah,_,b,
_,u,___,usagi,rabbit,arnab,__,c,
_,e,__,eki,train station,stesen keretapi,_,d,
_,o,__,oni,demon,jin/iblis,_,e,
_,ka,___,katana,sword,pedang,___,f,
_,ki,___,kimono,kimono,kimono,___,g,
_,ku,__,kuma,bear,beruang,_,h,
_,ke,____,kekkon,marriage,perkahwinan,__,i,
_,ko,___,kotoba,words,perkataan,__,j,
_,sa,___,sashimi,sashimi,sashimi,__,k,
_,shi,__,shio,salt,garam,_,l,
_,su,___,suika,watermelon,tembikai,___,m,
_,se,___,sekai,world,dunia,__,n,
_,so,__,soba,soba,soba,__,o,
_,ta,____,takoyaki,takoyaki,takoyaki,____,p,
_,chi,__,chizu,map,pelan,__,q,
_,tsu,___,tsubomi,flower bud,kuncup bunga,_,r,
_,te,__,tetsu,iron,besi,_,s,
_,to,___,toufu,tofu,tofu,__,t,
_,na,__,naka,inside,dalam,_,u,
_,ni,___,nihon,Japan,Jepun,__,v,
_,nu,__,nuku,pull out,keluarkan,__,w,
_,ne,__,neru,sleep,tidur,__,x,
_,no,__,nomu,drink,minum,__,y,
_,ha,__,haha,mother,ibu,_,z,
_,hi,__,hiru,afternoon,tengahari,_,a1,
_,hu,___,futon,bedclothes,selimut tidur,__,a2,
_,he,__,hebi,snake,ular,_,a3,
_,ho,_,ho,sail,layar,_,a4,
_,ma,___,manga,manga,manga,__,a5,
_,mi,___,minami,south,selatan,_,a6,
_,mu,__,mushi,insect,serangga,_,a7,
_,me,___,megane,spectacles,cermin mata,__,a8,
_,mo,__,momo,peach,buah peach,_,a9,
_,ra,____,ra-men,ramen,ramen,____,b1,
_,ri,___,ringo,apple,epal,___,b2,
_,ru,___,rur-u,rules,undang-undang,___,b3,
_,re,_____,reizouko,refrigerator,peti ais,___,b4,
_,ro,___,rosen,route,laluan,__,b5,
_,wa,__,wani,crocodile,buaya,__,b6,
_,ya,___,yachin,rent ,sewa rumah,__,b7,
_,yu,___,yugata,evening,petang,__,b8,
_,yo,__,yoru,night,malam,_,b9,
_,n,,,,,,,
_,wo,,,,,,,
